Title,Date,Year,Month,Day,Day_of_week,show_name,season,episode_name,show_type
Friends: Season 5: The One with the Girl Who Hits Joey,2019-09-02,2019,September,2,Monday,Friends, Season 5, The One with the Girl Who Hits Joey,TV Show
Friends: Season 5: The One Where Everybody Finds Out,2019-09-02,2019,September,2,Monday,Friends, Season 5, The One Where Everybody Finds Out,TV Show
Friends: Season 5: The One with Joey's Bag,2019-09-01,2019,September,1,Sunday,Friends, Season 5, The One with Joey's Bag,TV Show
Friends: Season 5: The One with Chandler's Work Laugh,2019-09-01,2019,September,1,Sunday,Friends, Season 5, The One with Chandler's Work Laugh,TV Show
Friends: Season 5: The One with All the Resolutions,2019-09-01,2019,September,1,Sunday,Friends, Season 5, The One with All the Resolutions,TV Show
Friends: Season 5: The One with the Inappropriate Sister,2019-09-01,2019,September,1,Sunday,Friends, Season 5, The One with the Inappropriate Sister,TV Show
Friends: Season 5: The One with Ross's Sandwich,2019-08-31,2019,August,31,Saturday,Friends, Season 5, The One with Ross's Sandwich,TV Show
Friends: Season 5: The One with All the Thanksgivings,2019-08-31,2019,August,31,Saturday,Friends, Season 5, The One with All the Thanksgivings,TV Show
Friends: Season 5: The One Where Ross Moves In,2019-08-31,2019,August,31,Saturday,Friends, Season 5, The One Where Ross Moves In,TV Show
Friends: Season 5: The One with the Yeti,2019-08-31,2019,August,31,Saturday,Friends, Season 5, The One with the Yeti,TV Show
Friends: Season 5: The One with the Kips,2019-08-30,2019,August,30,Friday,Friends, Season 5, The One with the Kips,TV Show
Friends: Season 5: The One Where Phoebe Hates PBS,2019-08-30,2019,August,30,Friday,Friends, Season 5, The One Where Phoebe Hates PBS,TV Show
Friends: Season 5: The One Hundredth,2019-08-30,2019,August,30,Friday,Friends, Season 5, The One Hundredth,TV Show
Friends: Season 5: The One with All the Kissing,2019-08-30,2019,August,30,Friday,Friends, Season 5, The One with All the Kissing,TV Show
Friends: Season 5: The One After Ross Says Rachel,2019-08-30,2019,August,30,Friday,Friends, Season 5, The One After Ross Says Rachel,TV Show
Friends: Season 4: The One with Ross's Wedding: Part 2,2019-08-30,2019,August,30,Friday,Friends, Season 4, The One with Ross's Wedding: Part 2,TV Show
Friends: Season 4: The One with Ross's Wedding: Part 1,2019-08-30,2019,August,30,Friday,Friends, Season 4, The One with Ross's Wedding: Part 1,TV Show
Friends: Season 4: The One with the Worst Best Man Ever,2019-08-30,2019,August,30,Friday,Friends, Season 4, The One with the Worst Best Man Ever,TV Show
Friends: Season 4: The One with the Invitation,2019-08-30,2019,August,30,Friday,Friends, Season 4, The One with the Invitation,TV Show
Friends: Season 4: The One with the Wedding Dresses,2019-08-30,2019,August,30,Friday,Friends, Season 4, The One with the Wedding Dresses,TV Show
Friends: Season 4: The One with All the Haste,2019-08-30,2019,August,30,Friday,Friends, Season 4, The One with All the Haste,TV Show
Friends: Season 4: The One Where They're Going to Party,2019-08-30,2019,August,30,Friday,Friends, Season 4, The One Where They're Going to Party,TV Show
Friends: Season 4: The One with Chandler in a Box,2019-08-23,2019,August,23,Friday,Friends, Season 4, The One with Chandler in a Box,TV Show
Friends: Season 4: The One Where Chandler Crosses the Line,2019-08-23,2019,August,23,Friday,Friends, Season 4, The One Where Chandler Crosses the Line,TV Show
Friends: Season 4: The One with the Dirty Girl,2019-08-21,2019,August,21,Wednesday,Friends, Season 4, The One with the Dirty Girl,TV Show
Friends: Season 4: The One with Joey's New Girlfriend,2019-08-20,2019,August,20,Tuesday,Friends, Season 4, The One with Joey's New Girlfriend,TV Show
Friends: Season 4: The One with the Ballroom Dancing,2019-08-20,2019,August,20,Tuesday,Friends, Season 4, The One with the Ballroom Dancing,TV Show
Friends: Season 4: The One with the 'Cuffs,2019-08-18,2019,August,18,Sunday,Friends, Season 4, The One with the 'Cuffs,TV Show
Friends: Season 4: The One with the Cat,2019-08-18,2019,August,18,Sunday,Friends, Season 4, The One with the Cat,TV Show
Friends: Season 4: The One with the Jellyfish,2019-08-18,2019,August,18,Sunday,Friends, Season 4, The One with the Jellyfish,TV Show
Friends: Season 3: The One at the Beach,2019-08-18,2019,August,18,Sunday,Friends, Season 3, The One at the Beach,TV Show
Friends: Season 3: The One with the Ultimate Fighting Champion,2019-08-18,2019,August,18,Sunday,Friends, Season 3, The One with the Ultimate Fighting Champion,TV Show
Friends: Season 3: The One with Ross's Thing,2019-08-18,2019,August,18,Sunday,Friends, Season 3, The One with Ross's Thing,TV Show
Friends: Season 3: The One with the Screamer,2019-08-18,2019,August,18,Sunday,Friends, Season 3, The One with the Screamer,TV Show
Friends: Season 3: The One with a Chick. And a Duck,2019-08-18,2019,August,18,Sunday,Friends, Season 3, The One with a Chick. And a Duck,TV Show
Friends: Season 3: The One with the Dollhouse,2019-08-18,2019,August,18,Sunday,Friends, Season 3, The One with the Dollhouse,TV Show
Friends: Season 3: The One with the Tiny T-Shirt,2019-08-17,2019,August,17,Saturday,Friends, Season 3, The One with the Tiny T-Shirt,TV Show
Friends: Season 3: The One with the Hypnosis Tape,2019-08-17,2019,August,17,Saturday,Friends, Season 3, The One with the Hypnosis Tape,TV Show
Friends: Season 3: The One Without the Ski Trip,2019-08-17,2019,August,17,Saturday,Friends, Season 3, The One Without the Ski Trip,TV Show
Friends: Season 3: The One The Morning After,2019-08-17,2019,August,17,Saturday,Friends, Season 3, The One The Morning After,TV Show
Friends: Season 3: The One Where Ross & Rachel Take a Break,2019-08-17,2019,August,17,Saturday,Friends, Season 3, The One Where Ross & Rachel Take a Break,TV Show
Friends: Season 3: The One with Phoebe's Ex-Partner,2019-08-16,2019,August,16,Friday,Friends, Season 3, The One with Phoebe's Ex-Partner,TV Show
Friends: Season 3: The One Where Monica & Richard Are Just Friends,2019-08-16,2019,August,16,Friday,Friends, Season 3, The One Where Monica & Richard Are Just Friends,TV Show
Friends: Season 3: The One with All the Jealousy,2019-08-14,2019,August,14,Wednesday,Friends, Season 3, The One with All the Jealousy,TV Show
Friends: Season 3: The One Where Chandler Can't Remember Which Sister,2019-08-14,2019,August,14,Wednesday,Friends, Season 3, The One Where Chandler Can't Remember Which Sister,TV Show
Friends: Season 3: The One Where Rachel Quits,2019-08-14,2019,August,14,Wednesday,Friends, Season 3, The One Where Rachel Quits,TV Show
Friends: Season 3: The One with the Football,2019-08-14,2019,August,14,Wednesday,Friends, Season 3, The One with the Football,TV Show
Friends: Season 3: The One with the Giant Poking Device,2019-08-14,2019,August,14,Wednesday,Friends, Season 3, The One with the Giant Poking Device,TV Show
Friends: Season 3: The One with the Race Car Bed,2019-08-13,2019,August,13,Tuesday,Friends, Season 3, The One with the Race Car Bed,TV Show
Friends: Season 3: The One with the Flashback,2019-08-13,2019,August,13,Tuesday,Friends, Season 3, The One with the Flashback,TV Show
Friends: Season 3: The One with Frank Jr,2019-08-13,2019,August,13,Tuesday,Friends, Season 3, The One with Frank Jr,TV Show
Friends: Season 3: The One with the Metaphorical Tunnel,2019-08-12,2019,August,12,Monday,Friends, Season 3, The One with the Metaphorical Tunnel,TV Show
Friends: Season 3: The One with the Jam,2019-08-12,2019,August,12,Monday,Friends, Season 3, The One with the Jam,TV Show
Friends: Season 3: The One Where No One's Ready,2019-08-12,2019,August,12,Monday,Friends, Season 3, The One Where No One's Ready,TV Show
Friends: Season 3: The One with the Princess Leia Fantasy,2019-08-12,2019,August,12,Monday,Friends, Season 3, The One with the Princess Leia Fantasy,TV Show
Friends: Season 2: The One with Barry and Mindy's Wedding,2019-08-12,2019,August,12,Monday,Friends, Season 2, The One with Barry and Mindy's Wedding,TV Show
Friends: Season 2: The One with the Chicken Pox,2019-08-12,2019,August,12,Monday,Friends, Season 2, The One with the Chicken Pox,TV Show
The Family: Limited Series: Submersion,2019-08-12,2019,August,12,Monday,The Family, Limited Series, Submersion,TV Show
Friends: Season 2: The One with the Two Parties,2019-08-11,2019,August,11,Sunday,Friends, Season 2, The One with the Two Parties,TV Show
Friends: Season 2: The One with the Bullies,2019-08-11,2019,August,11,Sunday,Friends, Season 2, The One with the Bullies,TV Show
Friends: Season 2: The One Where Old Yeller Dies,2019-08-10,2019,August,10,Saturday,Friends, Season 2, The One Where Old Yeller Dies,TV Show
Friends: Season 2: The One Where Eddie Won't Go,2019-08-09,2019,August,9,Friday,Friends, Season 2, The One Where Eddie Won't Go,TV Show
Friends: Season 2: The One Where Dr. Ramoray Dies,2019-08-09,2019,August,9,Friday,Friends, Season 2, The One Where Dr. Ramoray Dies,TV Show
Friends: Season 2: The One After the Super Bowl: Part 2,2019-08-09,2019,August,9,Friday,Friends, Season 2, The One After the Super Bowl: Part 2,TV Show
Friends: Season 2: The One Where Eddie Moves In,2019-08-08,2019,August,8,Thursday,Friends, Season 2, The One Where Eddie Moves In,TV Show
Friends: Season 2: The One Where Joey Moves Out,2019-08-08,2019,August,8,Thursday,Friends, Season 2, The One Where Joey Moves Out,TV Show
Friends: Season 2: The One Where Ross and Rachel...You Know,2019-08-08,2019,August,8,Thursday,Friends, Season 2, The One Where Ross and Rachel...You Know,TV Show
Friends: Season 2: The One with the Prom Video,2019-08-08,2019,August,8,Thursday,Friends, Season 2, The One with the Prom Video,TV Show
Friends: Season 2: The One After the Super Bowl: Part 1,2019-08-08,2019,August,8,Thursday,Friends, Season 2, The One After the Super Bowl: Part 1,TV Show
Friends: Season 2: The One with the Lesbian Wedding,2019-08-08,2019,August,8,Thursday,Friends, Season 2, The One with the Lesbian Wedding,TV Show
Queer Eye: Season 4: Without Further Ado,2019-08-08,2019,August,8,Thursday,Queer Eye, Season 4, Without Further Ado,TV Show
Friends: Season 1: The One Where the Monkey Gets Away,2019-08-08,2019,August,8,Thursday,Friends, Season 1, The One Where the Monkey Gets Away,TV Show
Friends: Season 1: The One with Mrs. Bing,2019-08-08,2019,August,8,Thursday,Friends, Season 1, The One with Mrs. Bing,TV Show
Friends: Season 2: The One with Russ,2019-08-06,2019,August,6,Tuesday,Friends, Season 2, The One with Russ,TV Show
Friends: Season 2: The One with Phoebe's Dad,2019-08-06,2019,August,6,Tuesday,Friends, Season 2, The One with Phoebe's Dad,TV Show
Friends: Season 2: The One with the List,2019-08-06,2019,August,6,Tuesday,Friends, Season 2, The One with the List,TV Show
Friends: Season 2: The One Where Ross Finds Out,2019-08-06,2019,August,6,Tuesday,Friends, Season 2, The One Where Ross Finds Out,TV Show
Friends: Season 2: The One with the Baby on the Bus,2019-08-06,2019,August,6,Tuesday,Friends, Season 2, The One with the Baby on the Bus,TV Show
Friends: Season 2: The One with Five Steaks and an Eggplant,2019-08-03,2019,August,3,Saturday,Friends, Season 2, The One with Five Steaks and an Eggplant,TV Show
Friends: Season 2: The One with Phoebe's Husband,2019-08-02,2019,August,2,Friday,Friends, Season 2, The One with Phoebe's Husband,TV Show
Friends: Season 2: The One Where Heckles Dies,2019-08-02,2019,August,2,Friday,Friends, Season 2, The One Where Heckles Dies,TV Show
Friends: Season 2: The One with the Breast Milk,2019-08-02,2019,August,2,Friday,Friends, Season 2, The One with the Breast Milk,TV Show
Friends: Season 2: The One with Ross's New Girlfriend,2019-08-02,2019,August,2,Friday,Friends, Season 2, The One with Ross's New Girlfriend,TV Show
Friends: Season 1: The One Where Rachel Finds Out,2019-08-02,2019,August,2,Friday,Friends, Season 1, The One Where Rachel Finds Out,TV Show
Friends: Season 1: The One with the Birth,2019-08-02,2019,August,2,Friday,Friends, Season 1, The One with the Birth,TV Show
Friends: Season 1: The One with the Ick Factor,2019-07-31,2019,July,31,Wednesday,Friends, Season 1, The One with the Ick Factor,TV Show
Friends: Season 1: The One with the Fake Monica,2019-07-31,2019,July,31,Wednesday,Friends, Season 1, The One with the Fake Monica,TV Show
Friends: Season 1: The One with the Evil Orthodontist,2019-07-31,2019,July,31,Wednesday,Friends, Season 1, The One with the Evil Orthodontist,TV Show
Friends: Season 1: The One with All the Poker,2019-07-31,2019,July,31,Wednesday,Friends, Season 1, The One with All the Poker,TV Show
Friends: Season 1: The One with the Two Parts: Part 2,2019-07-30,2019,July,30,Tuesday,Friends, Season 1, The One with the Two Parts: Part 2,TV Show
Friends: Season 1: The One with the Two Parts: Part 1,2019-07-30,2019,July,30,Tuesday,Friends, Season 1, The One with the Two Parts: Part 1,TV Show
Friends: Season 1: The One with the Dozen Lasagnas,2019-07-30,2019,July,30,Tuesday,Friends, Season 1, The One with the Dozen Lasagnas,TV Show
Friends: Season 1: The One with the Stoned Guy,2019-07-29,2019,July,29,Monday,Friends, Season 1, The One with the Stoned Guy,TV Show
Friends: Season 1: The One with the Candy Hearts,2019-07-29,2019,July,29,Monday,Friends, Season 1, The One with the Candy Hearts,TV Show
Friends: Season 1: The One with the Boobies,2019-07-29,2019,July,29,Monday,Friends, Season 1, The One with the Boobies,TV Show
Friends: Season 1: The One with the Monkey,2019-07-29,2019,July,29,Monday,Friends, Season 1, The One with the Monkey,TV Show
Friends: Season 1: The One Where Underdog Gets Away,2019-07-29,2019,July,29,Monday,Friends, Season 1, The One Where Underdog Gets Away,TV Show
Friends: Season 1: The One Where Nana Dies Twice,2019-07-29,2019,July,29,Monday,Friends, Season 1, The One Where Nana Dies Twice,TV Show
Friends: Season 1: The One with the Blackout,2019-07-29,2019,July,29,Monday,Friends, Season 1, The One with the Blackout,TV Show
Friends: Season 1: The One with the Butt,2019-07-28,2019,July,28,Sunday,Friends, Season 1, The One with the Butt,TV Show
Friends: Season 1: The One with the East German Laundry Detergent,2019-07-27,2019,July,27,Saturday,Friends, Season 1, The One with the East German Laundry Detergent,TV Show
Friends: Season 1: The One with George Stephanopoulos,2019-07-27,2019,July,27,Saturday,Friends, Season 1, The One with George Stephanopoulos,TV Show
Friends: Season 1: The One with the Thumb,2019-07-27,2019,July,27,Saturday,Friends, Season 1, The One with the Thumb,TV Show
Friends: Season 1: The One with the Sonogram at the End,2019-07-27,2019,July,27,Saturday,Friends, Season 1, The One with the Sonogram at the End,TV Show
The Great Hack,2019-07-26,2019,July,26,Friday,The Great Hack,,,Movie
Friends: Season 1: The One Where Monica Gets a Roommate (Pilot),2019-07-26,2019,July,26,Friday,Friends, Season 1, The One Where Monica Gets a Roommate (Pilot),TV Show
